DateTime,%leafs,%flowers,%fruits
2024-02-14,,,
2024-02-15,,,
2024-02-16,,,
2024-02-17,,,
2024-02-18,,,
2024-02-19,,,
2024-02-20,,,
2024-02-21,,,
2024-02-22,,,
2024-02-23,,,
2024-02-24,,,
2024-02-25,,,
2024-02-26,,,
2024-02-27,,,
2024-02-28,,,
2024-02-29,,,
2024-03-01,,,
2024-03-02,,,
2024-03-03,,,
2024-03-04,,,
2024-03-05,,,
2024-03-06,75.0,0.0,0.0
2024-03-07,75.0,0.0,0.0
2024-03-08,75.0,0.0,0.0
2024-03-09,75.0,0.0,0.0
2024-03-10,75.0,0.0,0.0
2024-03-11,75.0,0.0,0.0
2024-03-12,75.0,0.0,0.0
2024-03-13,75.0,0.0,0.0
2024-03-14,75.0,0.0,0.0
2024-03-15,75.0,0.0,0.0
2024-03-16,75.0,0.0,0.0
2024-03-17,75.0,0.0,0.0
2024-03-18,75.0,0.0,0.0
2024-03-19,75.0,0.0,0.0
2024-03-20,75.0,0.0,0.0
2024-03-21,75.0,0.0,0.0
2024-03-22,75.0,0.0,0.0
2024-03-23,75.0,0.0,0.0
2024-03-24,75.0,0.0,0.0
2024-03-25,75.0,0.0,0.0
2024-03-26,75.0,0.0,0.0
2024-03-27,75.0,0.0,0.0
2024-03-28,75.0,0.0,0.0
2024-03-29,75.0,0.0,0.0
2024-03-30,75.0,0.0,0.0
2024-03-31,75.0,0.0,0.0
2024-04-01,75.0,0.0,0.0
2024-04-02,75.0,0.0,0.0
2024-04-03,75.0,0.0,0.0
2024-04-04,75.0,0.0,0.0
2024-04-05,75.0,0.0,0.0
2024-04-06,75.0,0.0,0.0
2024-04-07,75.0,0.0,0.0
2024-04-08,75.0,0.0,0.0
2024-04-09,75.0,0.0,0.0
2024-04-10,75.0,0.0,0.0
2024-04-11,75.0,0.0,0.0
2024-04-12,75.0,0.0,0.0
2024-04-13,75.0,0.0,0.0
2024-04-14,75.0,0.0,0.0
2024-04-15,75.0,0.0,0.0
2024-04-16,75.0,0.0,0.0
2024-04-17,75.0,0.0,0.0
2024-04-18,75.0,0.0,0.0
2024-04-19,75.0,0.0,0.0
2024-04-20,75.0,0.0,0.0
2024-04-21,75.0,0.0,0.0
2024-04-22,75.0,0.0,0.0
2024-04-23,75.0,0.0,0.0
2024-04-24,75.0,0.0,0.0
2024-04-25,75.0,0.0,0.0
2024-04-26,75.0,0.0,0.0
2024-04-27,75.0,0.0,0.0
2024-04-28,75.0,0.0,0.0
2024-04-29,75.0,0.0,0.0
2024-04-30,75.0,0.0,0.0
2024-05-01,75.0,0.0,0.0
2024-05-02,75.0,0.0,0.0
2024-05-03,75.0,0.0,0.0
2024-05-04,75.0,0.0,0.0
2024-05-05,75.0,0.0,0.0
2024-05-06,75.0,0.0,0.0
2024-05-07,75.0,0.0,0.0
2024-05-08,75.0,0.0,0.0
2024-05-09,75.0,0.0,0.0
2024-05-10,75.0,0.0,0.0
2024-05-11,75.0,0.0,0.0
2024-05-12,75.0,0.0,0.0
2024-05-13,75.0,0.0,0.0
2024-05-14,75.0,0.0,0.0
2024-05-15,75.0,0.0,0.0
2024-05-16,75.0,0.0,0.0
2024-05-17,75.0,0.0,0.0
2024-05-18,75.0,0.0,0.0
2024-05-19,75.0,0.0,0.0
2024-05-20,75.0,0.0,0.0
2024-05-21,75.0,0.0,0.0
2024-05-22,75.0,0.0,0.0
2024-05-23,75.0,0.0,0.0
2024-05-24,75.0,0.0,0.0
2024-05-25,75.0,0.0,0.0
2024-05-26,75.0,0.0,0.0
2024-05-27,75.0,0.0,0.0
2024-05-28,75.0,0.0,0.0
2024-05-29,75.0,0.0,0.0
2024-05-30,75.0,0.0,0.0
2024-05-31,75.0,0.0,0.0
2024-06-01,75.0,0.0,0.0
2024-06-02,75.0,0.0,0.0
2024-06-03,75.0,0.0,0.0
2024-06-04,75.0,0.0,0.0
2024-06-05,75.0,0.0,0.0
2024-06-06,75.0,0.0,0.0
2024-06-07,75.0,0.0,0.0
2024-06-08,75.0,0.0,0.0
2024-06-09,75.0,0.0,0.0
2024-06-10,75.0,0.0,0.0
2024-06-11,75.0,0.0,0.0
2024-06-12,75.0,0.0,0.0
2024-06-13,75.0,0.0,0.0
2024-06-14,75.0,0.0,0.0
2024-06-15,75.0,0.0,0.0
2024-06-16,75.0,0.0,0.0
2024-06-17,75.0,0.0,0.0
2024-06-18,75.0,0.0,0.0
2024-06-19,75.0,0.0,0.0
2024-06-20,75.0,0.0,0.0
2024-06-21,75.0,0.0,0.0
2024-06-22,75.0,0.0,0.0
2024-06-23,75.0,0.0,0.0
2024-06-24,75.0,0.0,0.0
2024-06-25,75.0,0.0,0.0
2024-06-26,75.0,0.0,0.0
2024-06-27,75.0,0.0,0.0
2024-06-28,75.0,0.0,0.0
2024-06-29,75.0,0.0,0.0
2024-06-30,75.0,0.0,0.0
2024-07-01,75.0,0.0,0.0
2024-07-02,75.0,0.0,0.0
2024-07-03,75.0,0.0,0.0
2024-07-04,75.0,0.0,0.0
2024-07-05,75.0,0.0,0.0
2024-07-06,75.0,0.0,0.0
2024-07-07,75.0,0.0,0.0
2024-07-08,75.0,0.0,0.0
2024-07-09,75.0,0.0,0.0
2024-07-10,75.0,0.0,0.0
2024-07-11,75.0,0.0,0.0
2024-07-12,75.0,0.0,0.0
2024-07-13,,,
2024-07-14,,,
2024-07-15,,,
2024-07-16,,,
2024-07-17,,,
2024-07-18,,,
2024-07-19,,,
2024-07-20,,,
2024-07-21,,,
2024-07-22,,,
2024-07-23,,,
2024-07-24,,,
2024-07-25,,,
2024-07-26,,,
2024-07-27,,,
2024-07-28,,,
2024-07-29,,,
2024-07-30,,,
2024-07-31,,,
2024-08-01,,,
2024-08-02,,,
2024-08-03,,,
2024-08-04,,,
2024-08-05,,,
2024-08-06,,,
2024-08-07,,,
2024-08-08,,,
2024-08-09,,,
2024-08-10,,,
2024-08-11,,,
2024-08-12,,,
2024-08-13,,,
2024-08-14,,,
2024-08-15,,,
2024-08-16,,,
2024-08-17,,,
2024-08-18,,,
2024-08-19,,,
2024-08-20,,,
2024-08-21,,,
2024-08-22,,,
2024-08-23,,,
2024-08-24,,,
2024-08-25,,,
2024-08-26,,,
2024-08-27,,,
2024-08-28,,,
2024-08-29,,,
2024-08-30,,,
2024-08-31,,,
2024-09-01,,,
2024-09-02,,,
2024-09-03,,,
2024-09-04,,,
2024-09-05,,,
2024-09-06,,,
2024-09-07,,,
2024-09-08,,,
2024-09-09,,,
2024-09-10,,,
2024-09-11,,,
2024-09-12,,,
2024-09-13,,,
2024-09-14,,,
2024-09-15,,,
2024-09-16,,,
2024-09-17,,,
2024-09-18,,,
2024-09-19,,,
2024-09-20,,,
2024-09-21,,,
2024-09-22,,,
2024-09-23,,,
2024-09-24,,,
2024-09-25,,,
2024-09-26,,,
2024-09-27,,,
2024-09-28,,,
2024-09-29,,,
2024-09-30,,,
2024-10-01,,,
2024-10-02,,,
2024-10-03,,,
2024-10-04,,,
2024-10-05,,,
2024-10-06,,,
2024-10-07,,,
2024-10-08,,,
2024-10-09,,,
2024-10-10,,,
2024-10-11,,,
2024-10-12,,,
2024-10-13,,,
2024-10-14,,,
2024-10-15,,,
2024-10-16,,,
2024-10-17,,,
2024-10-18,,,
2024-10-19,,,
2024-10-20,,,
2024-10-21,,,
2024-10-22,0.0,0.0,0.0
2024-10-23,25.0,0.0,0.0
2024-10-24,25.0,0.0,0.0
2024-10-25,25.0,0.0,0.0
2024-10-26,50.0,0.0,0.0
2024-10-27,50.0,0.0,0.0
2024-10-28,50.0,0.0,0.0
2024-10-29,66.66666666666667,0.0,0.0
2024-10-30,75.0,0.0,0.0
2024-10-31,75.0,0.0,0.0
2024-11-01,75.0,0.0,0.0
2024-11-02,75.0,0.0,0.0
2024-11-03,75.0,0.0,0.0
2024-11-04,75.0,0.0,0.0
2024-11-05,75.0,0.0,0.0
2024-11-06,75.0,0.0,0.0
2024-11-07,75.0,0.0,0.0
2024-11-08,75.0,100.0,0.0
2024-11-09,75.0,100.0,0.0
2024-11-10,75.0,12.5,0.0
2024-11-11,75.0,0.0,25.0
2024-11-12,75.0,0.0,25.0
2024-11-13,75.0,0.0,41.666666666666664
2024-11-14,75.0,0.0,50.0
2024-11-15,75.0,0.0,0.0
2024-11-16,75.0,0.0,0.0
2024-11-17,75.0,16.666666666666668,0.0
2024-11-18,75.0,16.666666666666668,0.0
2024-11-19,75.0,0.0,0.0
2024-11-20,75.0,0.0,0.0
2024-11-21,75.0,0.0,0.0
2024-11-22,75.0,0.0,0.0
2024-11-23,75.0,0.0,0.0
2024-11-24,75.0,0.0,0.0
2024-11-25,75.0,0.0,0.0
2024-11-26,75.0,0.0,0.0
2024-11-27,75.0,0.0,0.0
2024-11-28,75.0,0.0,0.0
2024-11-29,75.0,0.0,0.0
2024-11-30,75.0,0.0,0.0
2024-12-01,75.0,0.0,0.0
2024-12-02,75.0,0.0,0.0
2024-12-03,75.0,0.0,0.0
2024-12-04,75.0,0.0,0.0
2024-12-05,75.0,0.0,0.0
2024-12-06,75.0,0.0,0.0
2024-12-07,75.0,0.0,0.0
2024-12-08,75.0,0.0,0.0
2024-12-09,75.0,0.0,0.0
2024-12-10,75.0,0.0,0.0
2024-12-11,75.0,0.0,0.0
2024-12-12,75.0,0.0,0.0
2024-12-13,75.0,0.0,0.0
2024-12-14,75.0,0.0,0.0
2024-12-15,75.0,0.0,0.0
2024-12-16,75.0,0.0,0.0
2024-12-17,75.0,0.0,0.0
2024-12-18,75.0,0.0,0.0
2024-12-19,75.0,0.0,0.0
2024-12-20,75.0,0.0,0.0
2024-12-21,75.0,0.0,0.0
2024-12-22,75.0,0.0,0.0
2024-12-23,75.0,0.0,0.0
2024-12-24,75.0,0.0,0.0
2024-12-25,75.0,0.0,0.0
2024-12-26,75.0,0.0,0.0
2024-12-27,75.0,0.0,0.0
2024-12-28,75.0,0.0,0.0
2024-12-29,75.0,0.0,0.0
2024-12-30,75.0,0.0,0.0
2024-12-31,75.0,0.0,0.0
2025-01-01,75.0,0.0,0.0
2025-01-02,75.0,0.0,0.0
2025-01-03,75.0,0.0,0.0
2025-01-04,75.0,0.0,0.0
2025-01-05,75.0,0.0,0.0
2025-01-06,75.0,0.0,0.0
2025-01-07,75.0,0.0,0.0
2025-01-08,75.0,0.0,0.0
2025-01-09,75.0,0.0,0.0
2025-01-10,75.0,0.0,0.0
2025-01-11,75.0,0.0,0.0
2025-01-12,75.0,0.0,0.0
2025-01-13,75.0,0.0,0.0
2025-01-14,75.0,0.0,0.0
2025-01-15,75.0,0.0,0.0
2025-01-16,75.0,0.0,0.0
2025-01-17,75.0,0.0,0.0
2025-01-18,75.0,0.0,0.0
2025-01-19,75.0,0.0,0.0
2025-01-20,75.0,0.0,0.0
2025-01-21,75.0,0.0,0.0
2025-01-22,75.0,0.0,0.0
2025-01-23,75.0,0.0,0.0
2025-01-24,75.0,0.0,0.0
2025-01-25,75.0,0.0,0.0
2025-01-26,75.0,0.0,0.0
2025-01-27,75.0,0.0,0.0
2025-01-28,75.0,0.0,0.0
2025-01-29,75.0,0.0,0.0
2025-01-30,75.0,0.0,0.0
